title1_zh,title2_zh,label
怎么查询微信历史聊天记录，恢复以前删除的记录,微信聊天记录删除了怎么恢复？查看苹果手机微信记录,unrelated
第六套新版人民币即将发行？新华社这样说,溆浦讯｜“今天溆浦又出大事了”短视频系谣言！,unrelated
315曝光企业完整名单！香精饮料！食物相克表！这些你要注意啦！,315晚会说了，食物相克的谣言不存在,disagreed
「网信宜昌」飞机撒药灭白蛾、吃柚子会感染bp5病毒？,OMG｜多吃一定胖？前夫哥雷佳音决定还击谣言捍卫吃货,unrelated
网友爆料赵薇“已离婚”！赵薇终于“表态”了,赵薇工作室声明：离婚事件，纯属谣言,disagreed
营养师：补充这4种营养能帮你降血压，你一样都不吃么？,刘涛被传离婚？你知道王珂有多么爱刘涛吗？,unrelated
张继科马苏恋情曝光？一起“做头发” 大满贯因此被乒联除名？,马苏和张继科做头发谣言太恶毒 若一人相信或造国球内乱,disagreed
印度男孩“超能力”，耳朵一碰灯泡就亮！专家都解释不了！,“雨神”萧敬腾真有超能力？专家都出来辟谣啦,unrelated
古力娜扎首回应与张翰分手,娜扎工作室辟谣恶意炒作与张翰分手，还是忘不了郑爽？,disagreed
2017最新交规：这6种违章行为严查一律扣12分，第3个必查,注意！2017年新交规全面扣分，再不注意12分半年就扣没了,unrelated
爆料王源整容？范冰冰发声,王源深陷整容门，易烊千玺躺着也中枪？你家爱豆还好吗,agreed
网传乐山男子深夜遭“割喉”系谣言,韶关一男子强抢银行？谣言！,unrelated
12岁多多眼神为何越来越忧郁，黄磊自曝已经开始担心她早恋问题,12岁多多眼神为何越来越忧郁，黄磊自曝已经开始担心她的早恋问题,agreed
Facebook关闭“失控” AI 项目: 发展出人类无法理解的语言,智能机器人自创人类不懂语言 脸书紧急关闭,agreed
《战狼3》演员却开出了上亿的片酬，吴京回复：你别来了,范冰冰李晨结婚啦！豪华北京婚房首度曝光,unrelated
别看它不起眼，却是高血压特怕的食物，每天吃点，轻松降压稳压,又一款合资SUV倒下了，月销11000辆，现在卖8万一个月才卖2822辆,unrelated
5G投票上中兴投票给了华为，为什么联想没有投给华为呢？,辟谣！联想集团否认5G标准站队高通：我们投了华为的方案,disagreed
王祖蓝疑似扯老婆李亚男头发家暴，网友：又一个王宝强诞生！,王祖蓝“家暴”李亚男，又扯又拖拽头发，网友 心疼王祖蓝,agreed
柳州男子因买六合彩当街上吊,「网警辟谣」柳州市“男子因买六合彩上吊”视频系谣言,disagreed
生活中有很多食物是相克的，有个健康的身体，不要在乱吃食物了,央视说食物相克是谣言，但你敢不信食物相克吗？,disagreed
布尔陶亥4人车祸，寻找家属，把车开水里了求转发,紧急辟谣！布尔陶亥4人车祸，把车开水里了？真相是这样……,disagreed
喉咙被鱼刺卡住，喝醋就能软化？别再让无知害了你,辟谣｜鱼刺卡喉喝醋？妈妈，使不得啊！,disagreed
“还我陶院！”景德镇突发事件，学生集体抗议学校“被卖”,老校区6亿元被卖?景德镇陶瓷大学辟谣：系独立学院改设 已暂停,disagreed
株洲荷塘区601一男子因赌博自杀,「辟谣」株洲荷塘区601一男子因赌博自杀纯属造谣！,disagreed
原来用“它”泡酒可以让肾动力十足，连喝7天告别肾无力！,男人长处不够长？枸杞和它泡酒，让它长的超乎你的想象,agreed
抽烟有益健康刷屏！老中医竟说抽烟就是吃中药 老烟民可以放心啦,辟谣贴：又有烟民在叫好，还说等于补中药，李时珍都要坐起来了！,unrelated
特朗普要退出世界贸易组织(WTO),特朗普辟谣！没打算退出WTO，但是……,disagreed
王思聪放弃网红追腾讯千金，两人机场牵手相约吃饭？网友：我反对,马曼琳王思聪牵手成功 马化腾朋友圈辟谣：子虚乌有,disagreed
2018穷人的出路在哪里，马云告诉你，牛 0,马云告诉你2018年穷人出路在哪里，不要错过,agreed
成都锦江区一小学称学生遇迷药,成都某小学短信推送称学生遇迷药 警方经核实后辟谣,disagreed
喝酒千杯不醉的小妙招，1分钟搞定！让你越喝越能喝,喝醉酒怎么办？只要喝酒之前喝上它，保证你千杯不醉，赶紧试试吧,unrelated
王思聪2千万签下古力娜扎和赵丽颖，用2亿都签不下她,王思聪3千万想签约赵丽颖做代言人，神秘男直接替她拒绝！,unrelated
探索地球冥河：坦桑尼亚石化湖杀人无形,世界上最恐怖的湖泊，只要触碰所有的生物都会变成干尸化石,agreed
怀女孩的特征，看看你有没有,分享怀女孩特征，二胎又添女宝宝，孕期顺利，要的接,agreed
开国纪念币2017市场价值评估！,知识点 黎元洪开国纪念币价值高涨，已经引起大众藏友的关注！,unrelated
廉价版iPhone X再曝光：将配备LCD屏幕！,全新iPhone X将多达8中配色；小米Max 3真机上手视频曝光,unrelated
网传郑爽胡彦斌复合，为什么大家都劝郑爽擦亮眼睛？,胡一天工作室怒斥谣言 前女友为其澄清约炮聊骚劈腿事件,unrelated
可恶的继母，竟然假装怀孕，机智的李沁一眼看穿，一把拽了出来！,千金归来：李沁跟踪后妈到医院，发现后妈想用怀孕诬陷李沁,agreed
有眼袋千万别慌，如今药店有个医用乳膏，3次没眼袋不输激光,长眼袋不用担心，药店一“神奇乳膏”，120秒消除眼袋更显年轻,agreed
Angelababy和旧爱陈伟霆恩爱照曝光  真的好般配！,baby和旧爱陈伟霆恩爱照曝光 两人真心好般配！,agreed
苦尽甘来吧！张柏芝将于10月底订婚巴黎，谢霆锋知道会后悔吗？,张柏芝订婚巴黎，等了谢霆锋多年的女人终于爱到无路可退吗？,agreed
宜宾业主一定要看！这几种情况可拒缴物业费？！,辟谣！“8种情形业主可拒缴物业费”竟是谣言！宜宾是这样的……,disagreed
刘诗诗疑似已经怀孕 挺大肚现身 终于公开怀孕消息了,谁说怀孕不能养宠物了？伊能静曾挺6月孕肚辟谣,unrelated
吃小龙虾怎么肌肉溶解了——初识横纹肌溶解症,辟谣：吃小龙虾真的会导致横纹肌溶解吗？,disagreed
李小璐直言曾委屈大哭！婚后更聚少离多！贾乃亮称是为她负责！,贾乃亮伤心大哭，李小璐，我不想让他承担别人犯的错误,unrelated
作为联合国难民大使的姚晨，支持接收难民被网友怒对,姚晨发声明：这是谣言，我从未“呼吁中国接收难民”,disagreed
《我的前半生2》开拍居然是她取代马伊琍出演罗子君？,《我的前半生2》正式开拍，她取代马伊琍出演罗子君,agreed
用小苏打可以治疗癌症,小苏打可以治疗癌症,agreed
央视实验！手机充完电不拔充电器，后果太严重！,手机充完电不拔充电器，看完惊出一身汗……,agreed
花椒洋葱，疲软的杀手，只花不到6毛钱，三天硬邦邦，吃了都变硬,洋葱，疲软的杀手，只花不到2毛钱，三天硬邦邦，吃了都变硬,agreed
味爽公司臭豆腐配料出现屎,臭豆腐屎做的？谣言！,disagreed
2020年开始，农村低保补助将全面取消？准确消息是这样说的！,辟谣！2020年国家将全部取消农村低保？请不要吓唬老农民！,disagreed
头发白了不用染，这种树叶洗头，一周三次，白头发慢慢黑回来,头发白了不用染，试试用它泡水洗头，不出5天就能黑回来,agreed
中国空军这招太凶狠：一夜间冒出上百架战机日本哪受得了这种折腾,传承近10年的谣言——伊朗又买中国24架歼10啦,unrelated
用铁锅炒菜真的能补铁？事实让大家都惊呆了！,"央视集体辟谣！铁锅做菜不能补铁,大家别相信了!",disagreed
网传“多人感染SK5病毒死亡”系旧谣新传,网警辟谣 关于霍家店杀人了的辟谣,unrelated
千年女尸竟产下14斤活女婴#晒晒年终奖#,千年不腐女尸生下14斤孩子,agreed
张馨予都找到幸福了，阿娇却婚事凉了？希望她能赶快找到幸福,43岁何炅承认单身 不婚原因只因赵丽颖!,unrelated
娱乐圈内幕：今年跨年晚会的3组“零点大咖”，谁接刘德华的班,天佑再次喊话刘德华，跨年晚会谁的人气高，还不一定呢？,unrelated
海边游玩发现神秘生物，男子用力一扯，结果被这家伙吓到了！,阿波罗宇航员在月球上发现神秘生物脚印，是外星生物吗？,unrelated
王源整容了？要不是看着他长大的，差点我就信了,王源工作室辟谣“整容”传闻，底气十足直接“律师函”！,disagreed
注意了！医保卡里的钱年底会清零？怎么回事？,医保断缴三月清零，失业直接领失业金……这都是谣言，你入圈套了啊！,disagreed
"三亚来了10000多个外地人,专偷孩子摘器官",不要再转发了，“从三亚来了1000多个外地人偷小孩 盗器官”系谣言,disagreed
伊利董事长潘刚失联被带走调查？潘刚最新消息,伊利：造谣董事长被带走调查的一名涉案人员已被抓捕,disagreed
云朵要结婚，作为师傅刀郎连夜写了这首歌，为表祝福，好听醉了！,太好听了，云朵要结婚，作为师傅刀郎连夜写了这首歌，送上祝福,agreed
大连石油爆炸了，这个场面太吓人了,浓烟滚滚 直击中石油大连石化分公司火灾现场,unrelated
洋葱不能和这个一起吃，严重的还会导致眼睛失明！,洋葱和“它”一块吃会失明！为了家人的健康，速看加分享,agreed
4月1日起，驾考实施新规，我们还能不能愉快的考驾照了？,4月1日！实施最严驾考新规属谣言，安徽省交通厅最新回应来了！,disagreed
看完《战狼2》散场后一位男士发现前排的居然是自己的老婆和别的,男子自去电影院看战狼2看完发现老婆和别的男人在前面战狼3上映。,agreed
微信有个新功能，千万不能让女朋友知道,微信悄悄出新功能！网友：千万不能让女友知道……,agreed
惊！长时间玩手机等于慢性自杀？学会这3招不伤身！,打雪仗当心融雪剂伤眼睛？别让谣言毁了玩雪的好心情,unrelated
网传多种数码产品、家用电器产生“辐射”危害人体健康,家用电子设备对人体辐射危害大,agreed
机构上调35股评级 和而泰目标涨幅28%,中州证券(01375)澄清：与岳林继的犯罪案并无关联 报道内容与事实有较大出入,unrelated
武警挑衅特种兵，下一秒直接教他做人,当武警挑衅退伍特种兵 结果一秒就被对方KO了,agreed
百度CEO李彦宏养小三、有私生子、家庭争夺资产,关于李彦宏后宫小三传言，百度官方紧急辟谣且报警,disagreed
外卖小哥路边痛哭 背后故事让人动容,网传外卖小哥雨中痛哭为炒作，但是听到最后的哭声，是装不出来的,agreed
何炅多年来不肯曝光的老婆，原来是她，佩服何老师的眼光,何炅隐藏多年的妻子曝光，震惊粉丝！,agreed
范冰冰疑似怀孕，李晨升级当奶爸，什么时候大婚呢？,舒淇已怀孕，范冰冰不甘示弱未婚先孕跟上舒淇的脚步,agreed
「罗振宇的骗局」爆火有幕后元凶？小伙的分析很专业,罗振宇骗局中的市场营销学 那么多公司营销方案为何不能解决问题,unrelated
张家界吊缆，17位游客变烧鸭，关在笼子里，没有逃生机会！,喝咖啡不吃大蒜的人终获重判——周立波被判41年,unrelated
沸腾了！除了GDP超香港广州，深圳这项指标让北京上海艳羡不已！,缅甸批发劳力士VR厂绿水鬼，超值帅气，比深圳香港都要便宜,unrelated
廊坊发布最严停工令 自10月15日起停工5个月,廊坊发布：廊坊凌晨2点至4点将有6.8级余震系谣言,disagreed
淮南人朋友圈热传“飞机撒药治白蛾？”,江山要用飞机撒药治白蛾？不能晒被子？不能吃露天食物？,unrelated
真相：霍建华妈妈终于说出吐露，为何霍建华不娶陈乔恩娶林心如,霍建华为什么取41岁的林心如不娶陈乔恩霍妈妈不小心说漏了嘴,agreed
微信被拉黑了，这个方法可以强制聊天，看完我就学会了，太实用,微信被好友删除后不能聊天？马上打开这个功能，想怎么聊就怎么聊,agreed
它是血管堵塞的“死对头”，10个吃了，9个通，人人都需要,2018年三七要涨价？辟谣，三七市场行情稳定！附三七市场价格表,unrelated
What？ 信用卡逾期1天就进黑名单？！,请问有信用卡逾期7是不不黑名单？,unrelated
王思聪表白马化腾女儿！两人机场牵手照流出！恭喜？,王思聪表白马化腾女儿，马化腾辟谣：针对我家人的谣言越来越卑劣！,disagreed
滚鸡蛋除湿气,民间传统去湿气的方法：鸡蛋滚湿气，效果立马见效！,agreed
海口飞机撒药治白蛾,飞机撒药治白蛾？真相在这里！海口男子散布此谣言被拘十日！,disagreed
交警透露：驾驶证“替人销分”新规已经实行！别再抱有侥幸,交警提醒：驾驶证代扣分已成历史，禁止“替人销分”新规实行！,agreed
王学兵吸毒 曾是范冰冰前男友的他走上了一条不归路,PGone：我吸毒、玩嫂子怎么了？侮辱姚贝娜、范冰冰与你们有何干,unrelated
小仙女们看过来，减肥期间吃着几种水果可能有反效果哦,袁立事件此起彼伏，《演员的诞生》遭投诉停播整改？,unrelated
狗狗生下半人半狗的怪物，原因让人心痛,未解之谜震惊！母狗生下人形怪物！动物受到感染了吗！,unrelated
艾叶治疗腰间盘突出有妙招，80岁老奶奶留下的方子，用过都说好,艾叶配上它，能根除腰间盘突出，听万次不如试一次，试过的都说好,agreed
甲醛最怕这2个除醛“土方法”，一用一个准，让你30天住新房,切碎洋葱就能除甲醛？专家辟谣！这些除甲醛偏方千万别乱用,unrelated
互相转告：18年起驾照加分制有望出台，看看你能加几分？,交警提示：明日起驾照加分制有望出台！我国部分地区已开始实施,agreed
打卡计时40小时才能考科目一,打卡计时40小时才能考科目一？交通部辟谣：纯属误导,disagreed
手机也有验钞功能了,【辟谣】手机能验钞？这没头没尾的事你也信？,disagreed
九江学院女生被黑人强奸跳楼自杀,传谣九江学院女生被强奸自杀者被警方拘留 真相是……,disagreed
美国杀人蟹入侵日本，化身日本天敌，多人葬身蟹腹，日本人：mmp,日本“杀人蟹”疯狂袭人！这种谣言还要流传多久,disagreed
厨房里面最不起眼的白醋，你如果会用，不但美白还能淡斑,白醋淡斑美白，35岁宝妈似18岁少女,agreed
公公强吻儿媳后两家人现场斗殴？现场视频系张冠李戴,四川眉山一女子跳楼自杀 网传女子输300万 警方辟谣！,unrelated
"脸上长斑还显老,每晚睡前抹点""它"",帮你三天祛斑变年轻!","蜂蜜配“它”,3天美白去痘淡斑,7天40岁大姐年轻20岁",agreed
网爆王思聪谈门当户对追求马化腾女儿，网友：换口味啦？,马化腾辟谣王思聪表白他女儿，网友：别拿一个父亲的女儿开玩笑！,disagreed
中医带脉减肥法，睡前拍一拍肚子，脂刮油瘦小腹，水桶腰迅速消失,睡前这么做 醒来瘦二斤 每晚睡前伸展运动 帮助睡眠还能瘦 每天2分钟即可,unrelated
美媒又抹黑中国天宫一号失控将撞向地球！专家：想吓唬美国人？,天宫一号将自由坠毁？专家：外媒造谣！,disagreed
《功夫2》被央视证实将开拍，男女主已定，周星驰不再参演成遗憾,传佘诗曼北上发展只能混个“女配角”？网友出面辟谣：“只是客串”,unrelated
拉萨城投成中国最魔鬼主场！客队一场比赛倒下6个 拉萨城投成中国最魔鬼主场！客队一场比赛倒下6个 拉萨城投成中国最魔鬼主场！客队一场比赛倒下6个,海拔3600米！国内也有最恐怖主场了：昨天中丙联赛拉萨城投主场比赛客队6人被担架抬下场,agreed
平江加义镇五星水库坍塌导致多人死亡,网传平江加义镇五星水库坍塌导致多人死亡 房屋倒塌等消息系谣言,disagreed
张一山亲姑是韩红，没想到父亲是他，大红大紫的原因令人感慨不已,张一山家庭背景大揭秘！除了姑姑是韩红以外，父亲的身份更厉害,agreed
「亿亿理财」960元机票退票费3800，15家企业被约谈竟无人到场,九百元机票退票费3800!15家涉事企业被约谈，竟无人到场,agreed
最牛的“天然胰岛素”，糖尿病的天敌，常吃降低血糖一身轻,最牛“天然胰岛素”，糖尿病的死敌，今天终于看到！超70万人收藏,agreed
8月1日起，驾驶证“替人销分”新规出台，驾驶证代扣分已成为历史,「辟谣」驾照“销分新规”疯传，权威解释在这里,disagreed
市面上三成的沐浴乳，含有这种可能致癌的物质，如果长期使用，可能就会有危险,洗澡时天天用的沐浴乳会致癌，你知道吗？,agreed
一分钱不花，只需一个“土方子”根治腰椎间盘突出，为家人收藏！,农村一个根治腰椎间盘突出的“土方子”，一周就能下地干活！,agreed
张柏芝要结婚了，来来来祝他们幸福吧！,张柏芝忽然发出婚讯，随后有出来辟谣，网友说出这样的话就释然了,disagreed
半路杀出数十亿身家的“某某”，范冰冰李晨婚期难定！,范冰冰李晨婚期无望，半路杀出33亿身价“陈咬金”，李晨怂了？,agreed
想减肥不想动怎么办？夏季减肥最快的秘籍 5个小妙招一天瘦一斤,夏季减肥最快的秘籍 5个小妙招一天瘦一斤 这个夏天瘦身停不下来,agreed
东莞楼市限价政策升级：新房价格备案后不得上涨,楼市早话 东莞限价升级 楼市调控未放松,agreed
微信提现突然免费，并非马化腾良心发现，而是马云的功劳。,支付宝“抄袭”微信代码火了 原爆料者澄清：总想搞个大新闻,unrelated
「旅行青蛙」会死的，还有可能被吃掉，突然好担心我的蛙,旅行青蛙会死？谣言！,disagreed
“塑料粉丝”反复炒 看招远如何破,你想看的“塑料大米”谣言这里通通都有,unrelated
王思聪表白马化腾女儿！两人机场牵手照流出！恭喜？,王思聪表白马化腾女儿？！马化腾辟谣,disagreed
再见联发科，魅族新机曝光，继续用高通！,辟谣，魅族15plus两张曝光图都是假，大伙别被忽悠了哈。,unrelated
奥迪A6L狂降至18万，江苏小伙抢购一辆库存车，媳妇：丑哭了！,2016款奥迪A6L全国最低价北京最高优惠18万 有大量现车在售 配置齐全,agreed
浙D司机注意！这种情况喝酒没开车也算酒驾！新交规速看,车主速看！酒后躺车内算酒驾吗？交警辟谣了！,disagreed
农村养老新方法“出炉”，60岁以上的农民每月可领取固定养老金！,农村“出炉”养老新方法，60岁以上可以每月领取固定养老金,agreed
农村这项补贴你弄明白了吗？家家户户都可申领的，有你吗？,好消息：农村有四项补贴每项都是几万元，你领了吗？,agreed
俄罗斯向中国交付苏35战机，印度俄罗斯开撕，俄专家：不买别多嘴,印俄五代机项目黄了？印方辟谣：有望三年内引进,unrelated
吴秀波犯了重婚罪？欧阳娜娜恋情，H女星为抢资源与闺蜜撕破脸,吴秀波辟谣 原来“重婚”真相这样啊,disagreed
宋小宝在饭店骗吃骗喝，连赵本山都服气！哈哈哈,宋小宝去饭店，演绎啥叫骗吃骗喝，妹子都惊了,agreed
传说鱼的记忆只有七秒,辟谣：鱼不是只有七秒的记忆，而且它不想把七秒前的回忆用来回忆,disagreed
服用灵芝孢子粉治疗多种疾病,灵芝孢子粉 提高免疫力 治疗癌症等各种疾病,agreed
成都大熊猫基地被曝虐待：熊猫患病黑眼圈泛白,关注｜真相来了……有人虐待大熊猫？成都繁育基地回应：造谣！,disagreed
牙膏配上它洗脸，大妈每天坚持用，7天皮肤白皙水嫩，斑也不见了,脸上长了斑点怎么办？只要每天早晚各一次，老年斑真的不见了,unrelated
卡友福音~4.5吨以下普货营运证，从业资格证将取消,交通部副部长发话：将取消4.5吨以下普通货车营运证和从业资格证,agreed
涵江一学生因考试不及格/高考失利跳楼,辟谣｜网传“涵江一学生因考试不及格/高考失利跳楼”信息不实，坠楼事件实发泉州界山,disagreed
当年梅艳芳葬礼上，张柏芝因这件事被人痛骂，成为一辈子的污点！,神仙姐姐刘亦菲疑似怀孕，白百何素颜显憔悴,unrelated
你还再喝星巴克？！被隐瞒8年的秘密曝光了，喝咖啡居然致癌？！,星巴克咖啡致癌？这则谣言，并不值得中国茶欢呼！,disagreed
常吃小龙虾的后果，体内竟然长寄生虫,小龙虾吃多体内长寄生虫？5月这些谣言你入坑了吗,disagreed
央视名嘴郎永淳酒驾背后：另有蹊跷，疑被碰瓷团伙精心设计,郎永淳醉驾被判拘役3个月！所谓被代驾“碰瓷”是谣言！,disagreed
实拍建筑工地挖出巨蟒，大家都吓坏了,实拍：建筑工地挖出巨蟒体型惊人 工人当场吓懵！,agreed
网爆吴京息影？《战狼3》无缘再见？,吴京宣布无缘《战狼3》，正式息影，谁来演冷锋？,agreed
报道称纳斯达克10月上线数字货币交易,43岁朱迅癌症复发，上节目与陈思思合唱，面容憔悴林令人好心疼,unrelated
媒体电商让人人都可以做电商，有人已经月入过万了,辟谣:圣诞节并不是八国联军掠夺中国的庆祝节日，这是被一些无良的自媒体人，为了吸引眼球，利用我们爱国心，获取“金钱”。,unrelated
日本网友爆出：旅行青蛙会死在途中，更可怕的是有可能被吃掉！,旅行青蛙会死？已辟谣！攻略请收下～,disagreed
专家解读上海楼市新政 引导购房需求合理释放,辟谣！三明市2017年公积金贷款新政出台了？公积金中心作出答复,unrelated
曝赵丽颖片酬暴涨超过赵薇 国内演员最新片酬大公开,最新消息：中考取消！九年制义务教育升级为十二年，关乎所有孩子,unrelated
2020年开始，农村低保补助将全面取消？准确消息是这样说的！,2020年国家将全部取消农村低保？这是谣言，请不要吓唬老农民！,disagreed
360手机和锤子搞出合并大新闻，老罗的这句回应很暧昧,周鸿祎否认与锤子合并手机业务，总裁李开新为离职消息辟谣,disagreed
2018年企业退休人员涨5%养老金,涨了！本市企业退休和城乡居保人员增加养老金5月18日到账！,agreed
90后小伙毕业3年买下宝马，但朋友没几个看得起他,别天真了！你以为不吃晚饭能减肥？做到这3点才能轻松减到90斤,unrelated
缺钙喝骨头汤?这并非补钙圣品,还在喝骨头汤、牛奶给孩子补钙？看到最后，是不是惊呆了？,unrelated
小沈阳的妻子终于道出小沈阳被封杀的内幕，是因为赵本山吗？,小沈阳回复被封杀只是谣言，公布小时候的照片也太愁了,disagreed
"周润发因病医治无效去世了? 成龙出席葬礼, 发嫂含泪出面解释",女主播直播间报道周润发因病去世 发嫂辟谣,disagreed
微信不上传个人真实头像会被锁群？桂林网警回应,网传微信不上传个人真实头像会被锁群？谣言！,disagreed
全面取消中考？美术纳入高考？不属实！,江西将取消中考？省教育厅亲自来辟谣了！,unrelated
红枣加它一起吃，相当于吃毒药，严重还会引发脾胃损伤，收藏！,红枣这样吃，就等于吃“慢性毒药”！别再忽视了，80%的人都不懂,agreed
老实人范伟相亲，把村里人都乐了,范伟严肃得搞笑我只服他，老熟人相亲，还一本正经的介绍,agreed
范冰冰4.5亿北京豪宅曝光！梦幻鞋柜似大型商场,范冰冰工作室辟谣 4.5亿北京豪宅完全系虚假信息,disagreed
上海公交车50岁老头暴打8岁儿童,“上海50岁老人暴打8岁儿童”谣言编造者被刑拘,disagreed
